dataset,split,bucket_feature,bucket,method,n_queries,recall_at_5,mrr,ndcg_at_5,reward,reward_delta_vs_train_best,reward_delta_vs_heuristic,rewrite_cost,retrieval_calls,oracle_margin,oracle_tie_count
scifact,test,state_question_length,high,Confidence-gated retrieval policy,85,0.7821568627450979,0.6503921568627451,0.6729450739162794,1.0978235294117646,0.0189019607843135,0.014372549019607606,0.009529411764705883,1.3176470588235294,0.05641176470588235,5.541176470588235
scifact,test,state_question_length,high,Oracle retrieval action,85,0.8688235294117647,0.7599999999999999,0.7834053047358599,1.2488235294117647,0.16990196078431352,0.16537254901960763,0.0,1.0,0.05641176470588235,5.541176470588235
scifact,test,state_bm25_top1,low,Train-best retrieval action,300,0.762611111111111,0.6483333333333333,0.6733601718339604,1.0567777777777778,0.0,0.008711111111111336,0.03,2.0,0.036477777777777776,5.723333333333334
scifact,test,state_bm25_top1,low,Heuristic retrieval router,300,0.7334444444444445,0.6324444444444444,0.6511935359277055,1.0480666666666665,-0.008711111111111336,0.0,0.0015999999999999999,1.0533333333333332,0.036477777777777776,5.723333333333334
scifact,test,state_bm25_top1,low,Selective retrieval policy,300,0.7736666666666666,0.6584444444444445,0.6806953438152175,1.090488888888889,0.03371111111111125,0.04242222222222258,0.0124,1.4133333333333333,0.036477777777777776,5.723333333333334
scifact,test,state_bm25_top1,low,Confidence-gated retrieval policy,300,0.7736666666666666,0.6584444444444445,0.6806953438152175,1.090488888888889,0.03371111111111125,0.04242222222222258,0.0124,1.4133333333333333,0.036477777777777776,5.723333333333334
scifact,test,state_bm25_top1,low,Oracle retrieval action,300,0.8385,0.7358888888888888,0.7576938176937511,1.2062444444444445,0.14946666666666664,0.15817777777777797,0.00019999999999999998,1.0066666666666666,0.036477777777777776,5.723333333333334
scifact,test,state_bm25_gap,low,Train-best retrieval action,100,0.5945,0.43883333333333335,0.47149996025138,0.7839166666666667,0.0,0.03688333333333338,0.03,2.0,0.05528333333333332,5.14
scifact,test,state_bm25_gap,low,Heuristic retrieval router,100,0.5503333333333333,0.403,0.4310305425968155,0.7470333333333333,-0.03688333333333338,0.0,0.0048,1.16,0.05528333333333332,5.14
scifact,test,state_bm25_gap,low,Selective retrieval policy,100,0.6226666666666667,0.4538333333333333,0.4871750136588744,0.8378833333333334,0.05396666666666672,0.0908500000000001,0.011699999999999999,1.39,0.05528333333333332,5.14
scifact,test,state_bm25_gap,low,Confidence-gated retrieval policy,100,0.6226666666666667,0.4538333333333333,0.4871750136588744,0.8378833333333334,0.05396666666666672,0.0908500000000001,0.011699999999999999,1.39,0.05528333333333332,5.14
scifact,test,state_bm25_gap,low,Oracle retrieval action,100,0.7204999999999999,0.5718333333333333,0.6015239709250135,1.0058166666666666,0.22189999999999988,0.25878333333333325,0.0006,1.02,0.05528333333333332,5.14
scifact,test,state_bm25_gap,mid,Train-best retrieval action,100,0.7666666666666667,0.6161666666666666,0.650452568594898,1.0447500000000003,0.0,0.033416666666667094,0.03,2.0,0.031733333333333336,4.77
scifact,test,state_bm25_gap,mid,Heuristic retrieval router,100,0.7183333333333334,0.586,0.611133209047044,1.0113333333333332,-0.033416666666667094,0.0,0.0,1.0,0.031733333333333336,4.77
scifact,test,state_bm25_gap,mid,Selective retrieval policy,100,0.7666666666666667,0.614,0.6441873960667874,1.0496666666666667,0.004916666666666458,0.03833333333333355,0.024,1.8,0.031733333333333336,4.77
scifact,test,state_bm25_gap,mid,Confidence-gated retrieval policy,100,0.7666666666666667,0.614,0.6441873960667874,1.0496666666666667,0.004916666666666458,0.03833333333333355,0.024,1.8,0.031733333333333336,4.77
scifact,test,state_bm25_gap,mid,Oracle retrieval action,100,0.83,0.711,0.7389943899318504,1.1855,0.1407499999999997,0.1741666666666668,0.0,1.0,0.031733333333333336,4.77
scifact,test,state_bm25_gap,high,Train-best retrieval action,100,0.9266666666666665,0.89,0.8981279866556028,1.3416666666666668,0.0,-0.044166666666666465,0.03,2.0,0.02241666666666667,7.26
scifact,test,state_bm25_gap,high,Heuristic retrieval router,100,0.9316666666666665,0.9083333333333334,0.911416856139257,1.3858333333333333,0.044166666666666465,0.0,0.0,1.0,0.02241666666666667,7.26
scifact,test,state_bm25_gap,high,Selective retrieval policy,100,0.9316666666666665,0.9075,0.9107236217199909,1.3839166666666665,0.04224999999999968,-0.0019166666666667886,0.0015,1.05,0.02241666666666667,7.26
scifact,test,state_bm25_gap,high,Confidence-gated retrieval policy,100,0.9316666666666665,0.9075,0.9107236217199909,1.3839166666666665,0.04224999999999968,-0.0019166666666667886,0.0015,1.05,0.02241666666666667,7.26
scifact,test,state_bm25_gap,high,Oracle retrieval action,100,0.965,0.9248333333333334,0.9325630922243892,1.4274166666666668,0.08574999999999999,0.04158333333333353,0.0,1.0,0.02241666666666667,7.26
scifact,test,state_bm25_entropy,low,Train-best retrieval action,101,0.9306930693069307,0.8811881188118812,0.8941514607496491,1.3412871287128714,0.0,-0.04237623762376219,0.03,2.0,0.02714521452145215,7.207920792079208
scifact,test,state_bm25_entropy,low,Heuristic retrieval router,101,0.9356435643564357,0.8960396039603961,0.9047160888805652,1.3836633663366336,0.04237623762376219,0.0,0.0,1.0,0.02714521452145215,7.207920792079208
scifact,test,state_bm25_entropy,low,Selective retrieval policy,101,0.9356435643564357,0.8952145214521453,0.9040297181684205,1.3817656765676567,0.04047854785478533,-0.0018976897689768624,0.0014851485148514852,1.0495049504950495,0.02714521452145215,7.207920792079208
scifact,test,state_bm25_entropy,low,Confidence-gated retrieval policy,101,0.9356435643564357,0.8952145214521453,0.9040297181684205,1.3817656765676567,0.04047854785478533,-0.0018976897689768624,0.0014851485148514852,1.0495049504950495,0.02714521452145215,7.207920792079208
scifact,test,state_bm25_entropy,low,Oracle retrieval action,101,0.9653465346534653,0.9255775577557755,0.9341612256129131,1.4281353135313533,0.08684818481848189,0.044471947194719696,0.0,1.0,0.02714521452145215,7.207920792079208
scifact,test,state_bm25_entropy,mid,Train-best retrieval action,99,0.7988215488215488,0.6518518518518518,0.684478266306349,1.0947474747474748,0.0,0.01090909090909098,0.030000000000000002,2.0,0.02602693602693603,4.878787878787879
scifact,test,state_bm25_entropy,mid,Heuristic retrieval router,99,0.7702020202020202,0.6272727272727273,0.6544021008272967,1.0838383838383838,-0.01090909090909098,0.0,0.0,1.0,0.02602693602693603,4.878787878787879
scifact,test,state_bm25_entropy,mid,Selective retrieval policy,99,0.7988215488215488,0.6572390572390572,0.6836072592588694,1.103804713804714,0.009057239057239208,0.019966329966330187,0.02363636363636363,1.7878787878787878,0.02602693602693603,4.878787878787879
scifact,test,state_bm25_entropy,mid,Confidence-gated retrieval policy,99,0.7988215488215488,0.6572390572390572,0.6836072592588694,1.103804713804714,0.009057239057239208,0.019966329966330187,0.02363636363636363,1.7878787878787878,0.02602693602693603,4.878787878787879
